NID    NIC-Addr  Node        Aries          Blue  Black  Green
----   --------  ----------  ------------   ----  -----  -----
0         0      c0-0c0s0n0  c0-0c0s0a0      0      0      0
1         1      c0-0c0s0n1  c0-0c0s0a0      0      0      0
2         2      c0-0c0s0n2  c0-0c0s0a0      0      0      0
3         3      c0-0c0s0n3  c0-0c0s0a0      0      0      0
4         4      c0-0c0s1n0  c0-0c0s1a0      0      0      1
5         5      c0-0c0s1n1  c0-0c0s1a0      0      0      1
6         6      c0-0c0s1n2  c0-0c0s1a0      0      0      1
7         7      c0-0c0s1n3  c0-0c0s1a0      0      0      1
8         8      c0-0c0s2n0  c0-0c0s2a0      0      0      2
9         9      c0-0c0s2n1  c0-0c0s2a0      0      0      2
10        10     c0-0c0s2n2  c0-0c0s2a0      0      0      2
11        11     c0-0c0s2n3  c0-0c0s2a0      0      0      2
12        12     c0-0c0s3n0  c0-0c0s3a0      0      0      3
13        13     c0-0c0s3n1  c0-0c0s3a0      0      0      3
14        14     c0-0c0s3n2  c0-0c0s3a0      0      0      3
15        15     c0-0c0s3n3  c0-0c0s3a0      0      0      3
16        16     c0-0c0s4n0  c0-0c0s4a0      0      0      4
17        17     c0-0c0s4n1  c0-0c0s4a0      0      0      4
18        18     c0-0c0s4n2  c0-0c0s4a0      0      0      4
19        19     c0-0c0s4n3  c0-0c0s4a0      0      0      4
20        20     c0-0c0s5n0  c0-0c0s5a0      0      0      5
21        21     c0-0c0s5n1  c0-0c0s5a0      0      0      5
22        22     c0-0c0s5n2  c0-0c0s5a0      0      0      5
23        23     c0-0c0s5n3  c0-0c0s5a0      0      0      5
24        24     c0-0c0s6n0  c0-0c0s6a0      0      0      6
25        25     c0-0c0s6n1  c0-0c0s6a0      0      0      6
26        26     c0-0c0s6n2  c0-0c0s6a0      0      0      6
27        27     c0-0c0s6n3  c0-0c0s6a0      0      0      6
28        28     c0-0c0s7n0  c0-0c0s7a0      0      0      7
29        29     c0-0c0s7n1  c0-0c0s7a0      0      0      7
30        30     c0-0c0s7n2  c0-0c0s7a0      0      0      7
31        31     c0-0c0s7n3  c0-0c0s7a0      0      0      7
32        32     c0-0c0s8n0  c0-0c0s8a0      0      0      8
33        33     c0-0c0s8n1  c0-0c0s8a0      0      0      8
34        34     c0-0c0s8n2  c0-0c0s8a0      0      0      8
35        35     c0-0c0s8n3  c0-0c0s8a0      0      0      8
36        36     c0-0c0s9n0  c0-0c0s9a0      0      0      9
37        37     c0-0c0s9n1  c0-0c0s9a0      0      0      9
38        38     c0-0c0s9n2  c0-0c0s9a0      0      0      9
39        39     c0-0c0s9n3  c0-0c0s9a0      0      0      9
40        40     c0-0c0s10n0 c0-0c0s10a0     0      0     10
41        41     c0-0c0s10n1 c0-0c0s10a0     0      0     10
42        42     c0-0c0s10n2 c0-0c0s10a0     0      0     10
43        43     c0-0c0s10n3 c0-0c0s10a0     0      0     10
44        44     c0-0c0s11n0 c0-0c0s11a0     0      0     11
45        45     c0-0c0s11n1 c0-0c0s11a0     0      0     11
46        46     c0-0c0s11n2 c0-0c0s11a0     0      0     11
47        47     c0-0c0s11n3 c0-0c0s11a0     0      0     11
48        48     c0-0c0s12n0 c0-0c0s12a0     0      0     12
49        49     c0-0c0s12n1 c0-0c0s12a0     0      0     12
50        50     c0-0c0s12n2 c0-0c0s12a0     0      0     12
51        51     c0-0c0s12n3 c0-0c0s12a0     0      0     12
52        52     c0-0c0s13n0 c0-0c0s13a0     0      0     13
53        53     c0-0c0s13n1 c0-0c0s13a0     0      0     13
54        54     c0-0c0s13n2 c0-0c0s13a0     0      0     13
55        55     c0-0c0s13n3 c0-0c0s13a0     0      0     13
56        56     c0-0c0s14n0 c0-0c0s14a0     0      0     14
57        57     c0-0c0s14n1 c0-0c0s14a0     0      0     14
58        58     c0-0c0s14n2 c0-0c0s14a0     0      0     14
59        59     c0-0c0s14n3 c0-0c0s14a0     0      0     14
60        60     c0-0c0s15n0 c0-0c0s15a0     0      0     15
61        61     c0-0c0s15n1 c0-0c0s15a0     0      0     15
62        62     c0-0c0s15n2 c0-0c0s15a0     0      0     15
63        63     c0-0c0s15n3 c0-0c0s15a0     0      0     15
64        64     c0-0c1s0n0  c0-0c1s0a0      0      1      0
65        65     c0-0c1s0n1  c0-0c1s0a0      0      1      0
66        66     c0-0c1s0n2  c0-0c1s0a0      0      1      0
67        67     c0-0c1s0n3  c0-0c1s0a0      0      1      0
68        68     c0-0c1s1n0  c0-0c1s1a0      0      1      1
69        69     c0-0c1s1n1  c0-0c1s1a0      0      1      1
70        70     c0-0c1s1n2  c0-0c1s1a0      0      1      1
71        71     c0-0c1s1n3  c0-0c1s1a0      0      1      1
72        72     c0-0c1s2n0  c0-0c1s2a0      0      1      2
73        73     c0-0c1s2n1  c0-0c1s2a0      0      1      2
74        74     c0-0c1s2n2  c0-0c1s2a0      0      1      2
75        75     c0-0c1s2n3  c0-0c1s2a0      0      1      2
76        76     c0-0c1s3n0  c0-0c1s3a0      0      1      3
77        77     c0-0c1s3n1  c0-0c1s3a0      0      1      3
78        78     c0-0c1s3n2  c0-0c1s3a0      0      1      3
79        79     c0-0c1s3n3  c0-0c1s3a0      0      1      3
80        80     c0-0c1s4n0  c0-0c1s4a0      0      1      4
81        81     c0-0c1s4n1  c0-0c1s4a0      0      1      4
82        82     c0-0c1s4n2  c0-0c1s4a0      0      1      4
83        83     c0-0c1s4n3  c0-0c1s4a0      0      1      4
84        84     c0-0c1s5n0  c0-0c1s5a0      0      1      5
85        85     c0-0c1s5n1  c0-0c1s5a0      0      1      5
86        86     c0-0c1s5n2  c0-0c1s5a0      0      1      5
87        87     c0-0c1s5n3  c0-0c1s5a0      0      1      5
88        88     c0-0c1s6n0  c0-0c1s6a0      0      1      6
89        89     c0-0c1s6n1  c0-0c1s6a0      0      1      6
90        90     c0-0c1s6n2  c0-0c1s6a0      0      1      6
91        91     c0-0c1s6n3  c0-0c1s6a0      0      1      6
92        92     c0-0c1s7n0  c0-0c1s7a0      0      1      7
93        93     c0-0c1s7n1  c0-0c1s7a0      0      1      7
94        94     c0-0c1s7n2  c0-0c1s7a0      0      1      7
95        95     c0-0c1s7n3  c0-0c1s7a0      0      1      7
96        96     c0-0c1s8n0  c0-0c1s8a0      0      1      8
97        97     c0-0c1s8n1  c0-0c1s8a0      0      1      8
98        98     c0-0c1s8n2  c0-0c1s8a0      0      1      8
99        99     c0-0c1s8n3  c0-0c1s8a0      0      1      8
100       100    c0-0c1s9n0  c0-0c1s9a0      0      1      9
101       101    c0-0c1s9n1  c0-0c1s9a0      0      1      9
102       102    c0-0c1s9n2  c0-0c1s9a0      0      1      9
103       103    c0-0c1s9n3  c0-0c1s9a0      0      1      9
104       104    c0-0c1s10n0 c0-0c1s10a0     0      1     10
105       105    c0-0c1s10n1 c0-0c1s10a0     0      1     10
106       106    c0-0c1s10n2 c0-0c1s10a0     0      1     10
107       107    c0-0c1s10n3 c0-0c1s10a0     0      1     10
108       108    c0-0c1s11n0 c0-0c1s11a0     0      1     11
109       109    c0-0c1s11n1 c0-0c1s11a0     0      1     11
110       110    c0-0c1s11n2 c0-0c1s11a0     0      1     11
111       111    c0-0c1s11n3 c0-0c1s11a0     0      1     11
112       112    c0-0c1s12n0 c0-0c1s12a0     0      1     12
113       113    c0-0c1s12n1 c0-0c1s12a0     0      1     12
114       114    c0-0c1s12n2 c0-0c1s12a0     0      1     12
115       115    c0-0c1s12n3 c0-0c1s12a0     0      1     12
116       116    c0-0c1s13n0 c0-0c1s13a0     0      1     13
117       117    c0-0c1s13n1 c0-0c1s13a0     0      1     13
118       118    c0-0c1s13n2 c0-0c1s13a0     0      1     13
119       119    c0-0c1s13n3 c0-0c1s13a0     0      1     13
120       120    c0-0c1s14n0 c0-0c1s14a0     0      1     14
121       121    c0-0c1s14n1 c0-0c1s14a0     0      1     14
122       122    c0-0c1s14n2 c0-0c1s14a0     0      1     14
123       123    c0-0c1s14n3 c0-0c1s14a0     0      1     14
124       124    c0-0c1s15n0 c0-0c1s15a0     0      1     15
125       125    c0-0c1s15n1 c0-0c1s15a0     0      1     15
126       126    c0-0c1s15n2 c0-0c1s15a0     0      1     15
127       127    c0-0c1s15n3 c0-0c1s15a0     0      1     15
128       128    c0-0c2s0n0  c0-0c2s0a0      0      2      0
129       129    c0-0c2s0n1  c0-0c2s0a0      0      2      0
130       130    c0-0c2s0n2  c0-0c2s0a0      0      2      0
131       131    c0-0c2s0n3  c0-0c2s0a0      0      2      0
132       132    c0-0c2s1n0  c0-0c2s1a0      0      2      1
133       133    c0-0c2s1n1  c0-0c2s1a0      0      2      1
134       134    c0-0c2s1n2  c0-0c2s1a0      0      2      1
135       135    c0-0c2s1n3  c0-0c2s1a0      0      2      1
136       136    c0-0c2s2n0  c0-0c2s2a0      0      2      2
137       137    c0-0c2s2n1  c0-0c2s2a0      0      2      2
138       138    c0-0c2s2n2  c0-0c2s2a0      0      2      2
139       139    c0-0c2s2n3  c0-0c2s2a0      0      2      2
140       140    c0-0c2s3n0  c0-0c2s3a0      0      2      3
141       141    c0-0c2s3n1  c0-0c2s3a0      0      2      3
142       142    c0-0c2s3n2  c0-0c2s3a0      0      2      3
