NID    NIC-Addr  Node          Gemini         X  Y  Z
----   --------  ------------  ------------   -- -- --
0        0       c0-0c0s0n0    c0-0c0s0g0     0  0  0 
1        1       c0-0c0s0n1    c0-0c0s0g0     0  0  0 
2        4       c0-0c0s1n0    c0-0c0s1g0     0  0  1 
3        5       c0-0c0s1n1    c0-0c0s1g0     0  0  1 
4        8       c0-0c0s2n0    c0-0c0s2g0     0  0  2 
5        9       c0-0c0s2n1    c0-0c0s2g0     0  0  2 
6        12      c0-0c0s3n0    c0-0c0s3g0     0  0  3 
7        13      c0-0c0s3n1    c0-0c0s3g0     0  0  3 
8        16      c0-0c0s4n0    c0-0c0s4g0     0  0  4 
9        17      c0-0c0s4n1    c0-0c0s4g0     0  0  4 
10       20      c0-0c0s5n0    c0-0c0s5g0     0  0  5 
11       21      c0-0c0s5n1    c0-0c0s5g0     0  0  5 
12       24      c0-0c0s6n0    c0-0c0s6g0     0  0  6 
13       25      c0-0c0s6n1    c0-0c0s6g0     0  0  6 
14       28      c0-0c0s7n0    c0-0c0s7g0     0  0  7 
15       29      c0-0c0s7n1    c0-0c0s7g0     0  0  7 
16       32      c0-0c1s7n0    c0-0c1s7g0     0  0  8 
17       33      c0-0c1s7n1    c0-0c1s7g0     0  0  8 
18       36      c0-0c1s6n0    c0-0c1s6g0     0  0  9 
19       37      c0-0c1s6n1    c0-0c1s6g0     0  0  9 
20       40      c0-0c1s5n0    c0-0c1s5g0     0  0  10
21       41      c0-0c1s5n1    c0-0c1s5g0     0  0  10
22       44      c0-0c1s4n0    c0-0c1s4g0     0  0  11
23       45      c0-0c1s4n1    c0-0c1s4g0     0  0  11
24       48      c0-0c1s3n0    c0-0c1s3g0     0  0  12
25       49      c0-0c1s3n1    c0-0c1s3g0     0  0  12
26       52      c0-0c1s2n0    c0-0c1s2g0     0  0  13
27       53      c0-0c1s2n1    c0-0c1s2g0     0  0  13
28       56      c0-0c1s1n0    c0-0c1s1g0     0  0  14
29       57      c0-0c1s1n1    c0-0c1s1g0     0  0  14
30       60      c0-0c1s0n0    c0-0c1s0g0     0  0  15
31       61      c0-0c1s0n1    c0-0c1s0g0     0  0  15
32       64      c0-0c2s0n0    c0-0c2s0g0     0  0  16
33       65      c0-0c2s0n1    c0-0c2s0g0     0  0  16
34       68      c0-0c2s1n0    c0-0c2s1g0     0  0  17
35       69      c0-0c2s1n1    c0-0c2s1g0     0  0  17
36       72      c0-0c2s2n0    c0-0c2s2g0     0  0  18
37       73      c0-0c2s2n1    c0-0c2s2g0     0  0  18
38       76      c0-0c2s3n0    c0-0c2s3g0     0  0  19
39       77      c0-0c2s3n1    c0-0c2s3g0     0  0  19
40       80      c0-0c2s4n0    c0-0c2s4g0     0  0  20
41       81      c0-0c2s4n1    c0-0c2s4g0     0  0  20
42       84      c0-0c2s5n0    c0-0c2s5g0     0  0  21
43       85      c0-0c2s5n1    c0-0c2s5g0     0  0  21
44       88      c0-0c2s6n0    c0-0c2s6g0     0  0  22
45       89      c0-0c2s6n1    c0-0c2s6g0     0  0  22
46       92      c0-0c2s7n0    c0-0c2s7g0     0  0  23
47       93      c0-0c2s7n1    c0-0c2s7g0     0  0  23
94       128     c0-0c0s0n2    c0-0c0s0g1     0  1  0 
95       129     c0-0c0s0n3    c0-0c0s0g1     0  1  0 
92       132     c0-0c0s1n2    c0-0c0s1g1     0  1  1 
93       133     c0-0c0s1n3    c0-0c0s1g1     0  1  1 
90       136     c0-0c0s2n2    c0-0c0s2g1     0  1  2 
91       137     c0-0c0s2n3    c0-0c0s2g1     0  1  2 
88       140     c0-0c0s3n2    c0-0c0s3g1     0  1  3 
89       141     c0-0c0s3n3    c0-0c0s3g1     0  1  3 
86       144     c0-0c0s4n2    c0-0c0s4g1     0  1  4 
87       145     c0-0c0s4n3    c0-0c0s4g1     0  1  4 
84       148     c0-0c0s5n2    c0-0c0s5g1     0  1  5 
85       149     c0-0c0s5n3    c0-0c0s5g1     0  1  5 
82       152     c0-0c0s6n2    c0-0c0s6g1     0  1  6 
83       153     c0-0c0s6n3    c0-0c0s6g1     0  1  6 
80       156     c0-0c0s7n2    c0-0c0s7g1     0  1  7 
81       157     c0-0c0s7n3    c0-0c0s7g1     0  1  7 
78       160     c0-0c1s7n2    c0-0c1s7g1     0  1  8 
79       161     c0-0c1s7n3    c0-0c1s7g1     0  1  8 
76       164     c0-0c1s6n2    c0-0c1s6g1     0  1  9 
77       165     c0-0c1s6n3    c0-0c1s6g1     0  1  9 
74       168     c0-0c1s5n2    c0-0c1s5g1     0  1  10
75       169     c0-0c1s5n3    c0-0c1s5g1     0  1  10
72       172     c0-0c1s4n2    c0-0c1s4g1     0  1  11
73       173     c0-0c1s4n3    c0-0c1s4g1     0  1  11
70       176     c0-0c1s3n2    c0-0c1s3g1     0  1  12
71       177     c0-0c1s3n3    c0-0c1s3g1     0  1  12
68       180     c0-0c1s2n2    c0-0c1s2g1     0  1  13
69       181     c0-0c1s2n3    c0-0c1s2g1     0  1  13
66       184     c0-0c1s1n2    c0-0c1s1g1     0  1  14
67       185     c0-0c1s1n3    c0-0c1s1g1     0  1  14
64       188     c0-0c1s0n2    c0-0c1s0g1     0  1  15
65       189     c0-0c1s0n3    c0-0c1s0g1     0  1  15
62       192     c0-0c2s0n2    c0-0c2s0g1     0  1  16
63       193     c0-0c2s0n3    c0-0c2s0g1     0  1  16
60       196     c0-0c2s1n2    c0-0c2s1g1     0  1  17
61       197     c0-0c2s1n3    c0-0c2s1g1     0  1  17
58       200     c0-0c2s2n2    c0-0c2s2g1     0  1  18
59       201     c0-0c2s2n3    c0-0c2s2g1     0  1  18
56       204     c0-0c2s3n2    c0-0c2s3g1     0  1  19
57       205     c0-0c2s3n3    c0-0c2s3g1     0  1  19
54       208     c0-0c2s4n2    c0-0c2s4g1     0  1  20
55       209     c0-0c2s4n3    c0-0c2s4g1     0  1  20
52       212     c0-0c2s5n2    c0-0c2s5g1     0  1  21
53       213     c0-0c2s5n3    c0-0c2s5g1     0  1  21
50       216     c0-0c2s6n2    c0-0c2s6g1     0  1  22
51       217     c0-0c2s6n3    c0-0c2s6g1     0  1  22
48       220     c0-0c2s7n2    c0-0c2s7g1     0  1  23
49       221     c0-0c2s7n3    c0-0c2s7g1     0  1  23
96       256     c0-2c2s0n0    c0-2c2s0g0     0  2  0 
97       257     c0-2c2s0n1    c0-2c2s0g0     0  2  0 
98       260     c0-2c2s1n0    c0-2c2s1g0     0  2  1 
99       261     c0-2c2s1n1    c0-2c2s1g0     0  2  1 
100      264     c0-2c2s2n0    c0-2c2s2g0     0  2  2 
101      265     c0-2c2s2n1    c0-2c2s2g0     0  2  2 
102      268     c0-2c2s3n0    c0-2c2s3g0     0  2  3 
103      269     c0-2c2s3n1    c0-2c2s3g0     0  2  3 
104      272     c0-2c2s4n0    c0-2c2s4g0     0  2  4 
105      273     c0-2c2s4n1    c0-2c2s4g0     0  2  4 
106      276     c0-2c2s5n0    c0-2c2s5g0     0  2  5 
107      277     c0-2c2s5n1    c0-2c2s5g0     0  2  5 
108      280     c0-2c2s6n0    c0-2c2s6g0     0  2  6 
